问题ID,标题,提问用户,用户声望,提问时间,精确时间,点赞数,回答数,浏览数,标签,问题链接,用户链接,抓取时间,来源页码
10010000000000098,请问在最新的开源激励计划中（2025年11月发布），如何理解开源贡献pr数这个概念？,HanqinWu,3,"Dec 2, 2025",2025-12-02T08:07:28.000Z,0,1,32,开源激励计划,https://answer.chancefoundation.org.cn/questions/10010000000000098/qing-wen-zai-zui-xin-de-kai-yuan-ji-li-ji-hua-zhong-2025-nian-11-yue-fa-bu-ru-he-li-jie-kai-yuan-gong-xian-pr-shu-zhe-ge-gai-nian,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:30,1
10010000000000096,对于工业级别的软件，是鼓励使用开源软件还是反对使用开源软件？,HanqinWu,3,"Nov 19, 2025",2025-11-19T03:37:12.000Z,0,1,8,开源许可证,https://answer.chancefoundation.org.cn/questions/10010000000000096/dui-yu-gong-ye-ji-bie-de-ruan-jian-shi-gu-li-shi-yong-kai-yuan-ruan-jian-hai-shi-fan-dui-shi-yong-kai-yuan-ruan-jian,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:30,1
10010000000000094,最近有有关天工开物基金会成立工业软件委员会的动态吗？包括相关信息也行。,HanqinWu,3,"Nov 2, 2025",2025-11-02T06:31:10.000Z,0,1,8,基金会活动,https://answer.chancefoundation.org.cn/questions/10010000000000094/zui-jin-you-you-guan-tian-gong-kai-wu-ji-jin-hui-cheng-li-gong-ye-ruan-jian-wei-yuan-hui-de-dong-tai-ma-bao-kuo-xiang-guan-xin-xi-ye-xing,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:30,1
10010000000000092,请问基金会这边有没有项目在招人做？想参与一些开源项目,HanqinWu,3,"Nov 2, 2025",2025-11-02T06:28:46.000Z,0,1,9,开源教育,https://answer.chancefoundation.org.cn/questions/10010000000000092/qing-wen-ji-jin-hui-zhe-bian-you-mei-you-xiang-mu-zai-zhao-ren-zuo-xiang-can-yu-yi-xie-kai-yuan-xiang-mu,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:30,1
10010000000000090,一个企业要成立ospo，如果没有说要开放源代码，还需要成立ospo吗？,HanqinWu,3,"Nov 1, 2025",2025-11-01T06:22:59.000Z,0,1,4,开源法规,https://answer.chancefoundation.org.cn/questions/10010000000000090/yi-ge-qi-ye-yao-cheng-li-ospo-ru-guo-mei-you-shuo-yao-kai-fang-yuan-dai-ma-hai-xu-yao-cheng-li-ospo-ma,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:30,1
10010000000000088,对待感兴趣的开源项目（产品），由于本身比较难，我没有分辨一些技术细节能力，请问怎么去学习他们？我怕被类似的开源项目人云亦云。,HanqinWu,3,"Oct 27, 2025",2025-10-27T13:20:24.000Z,0,1,5,开源教育,https://answer.chancefoundation.org.cn/questions/10010000000000088/dui-dai-gan-xing-qu-de-kai-yuan-xiang-mu-chan-pin-you-yu-ben-shen-bi-jiao-nan-wo-mei-you-fen-bian-yi-xie-ji-shu-xi-jie-neng-li-qing-wen-zen-me-qu-xue-,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:30,1
10010000000000083,如何成立一个新的SIG，我们怎么去运作SIG？,HanqinWu,3,"Oct 27, 2025",2025-10-27T12:53:59.000Z,0,1,2,开源教育,https://answer.chancefoundation.org.cn/questions/10010000000000083/ru-he-cheng-li-yi-ge-xin-de-sig-wo-men-zen-me-qu-yun-zuo-sig,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:30,1
10010000000000082,什么是开发者行为数据洞察，opendigger能不能做这个事情，企业社区能够用这个数据做什么？能给开源教育什么启示？,HanqinWu,3,"Oct 27, 2025",2025-10-27T12:53:08.000Z,0,1,4,开源教育,https://answer.chancefoundation.org.cn/questions/10010000000000082/shen-me-shi-kai-fa-zhe-xing-wei-shu-ju-dong-cha-opendigger-neng-bu-neng-zuo-zhe-ge-shi-qing-qi-ye-she-qu-neng-gou-yong-zhe-ge-shu-ju-zuo-shen-me-neng-,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:30,1
10010000000000080,discuss:就2025年诺贝尔经济学奖提问，请问是创新驱动和经济增长的关系是什么？,HanqinWu,3,"Oct 27, 2025",2025-10-27T12:51:35.000Z,0,1,5,开源热点问题,https://answer.chancefoundation.org.cn/questions/10010000000000080/discuss-jiu-2025-nian-nuo-bei-er-jing-ji-xue-jiang-ti-wen-qing-wen-shi-chuang-xin-qu-dong-he-jing-ji-zeng-zhang-de-guan-xi-shi-shen-me,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:30,1
10010000000000079,什么是SIG，在学校没有相关政策激励的情况下，怎么先去做这个开源的生态？,HanqinWu,3,"Oct 27, 2025",2025-10-27T12:49:37.000Z,0,1,8,开源教育,https://answer.chancefoundation.org.cn/questions/10010000000000079/shen-me-shi-sig-zai-xue-xiao-mei-you-xiang-guan-zheng-ce-ji-li-de-qing-kuang-xia-zen-me-xian-qu-zuo-zhe-ge-kai-yuan-de-sheng-tai,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:30,1
10010000000000073,2025年诺贝尔奖颁给了创新驱动的经济增长，对此你怎么看？,HanqinWu,3,"Oct 13, 2025",2025-10-13T13:11:53.000Z,0,1,3,开源热点,https://answer.chancefoundation.org.cn/questions/10010000000000073/2025-nian-nuo-bei-er-jiang-ban-gei-le-chuang-xin-qu-dong-de-jing-ji-zeng-zhang-dui-ci-ni-zen-me-kan,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:32,2
10010000000000072,因为我现在知道目前有很多基金会，能不能帮我列举常见的中国或者外国的基金会？想了解一下,HanqinWu,3,"Oct 13, 2025",2025-10-13T04:05:30.000Z,0,1,5,基金会职责,https://answer.chancefoundation.org.cn/questions/10010000000000072/yin-wei-wo-xian-zai-zhi-dao-mu-qian-you-hen-duo-ji-jin-hui-neng-bu-neng-bang-wo-lie-ju-chang-jian-de-zhong-guo-huo-zhe-wai-guo-de-ji-jin-hui-xiang-le-,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:32,2
10010000000000070,请问怎么根据我们做的产品决定是进行捐赠开源项目还是不开源,HanqinWu,3,"Oct 13, 2025",2025-10-13T04:03:35.000Z,0,1,6,项目捐赠,https://answer.chancefoundation.org.cn/questions/10010000000000070/qing-wen-zen-me-gen-ju-wo-men-zuo-de-chan-pin-jue-ding-shi-jin-xing-juan-zeng-kai-yuan-xiang-mu-hai-shi-bu-kai-yuan,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:32,2
10010000000000069,"请问什么是u-ospo,怎么运营管理这个u-ospo",HanqinWu,3,"Oct 13, 2025",2025-10-13T04:00:40.000Z,0,1,4,开源教育,https://answer.chancefoundation.org.cn/questions/10010000000000069/qing-wen-shen-me-shi-u-ospo-zen-me-yun-ying-guan-li-zhe-ge-u-ospo,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:32,2
10010000000000066,请问怎么理解LF的考试人才认证和百度飞桨ppde，基金会布道师这样的人才证书的区别？,HanqinWu,3,"Oct 6, 2025",2025-10-06T04:09:09.000Z,0,1,3,"开源教育, 基金会活动",https://answer.chancefoundation.org.cn/questions/10010000000000066/qing-wen-zen-me-li-jie-lf-de-kao-shi-ren-cai-ren-zheng-he-bai-du-fei-jiang-ppde-ji-jin-hui-bu-dao-shi-zhe-yang-de-ren-cai-zheng-shu-de-qu-bie,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:32,2
10010000000000064,最近参与了部分开源社区的SIG讨论以及一些会议，请问怎么用菜谱理解开源,HanqinWu,3,"Oct 6, 2025",2025-10-06T04:07:23.000Z,0,1,6,开源知识,https://answer.chancefoundation.org.cn/questions/10010000000000064/zui-jin-can-yu-le-bu-fen-kai-yuan-she-qu-de-sig-tao-lun-yi-ji-yi-xie-hui-yi-qing-wen-zen-me-yong-cai-pu-li-jie-kai-yuan,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:32,2
10010000000000056,帮我列举几个高校知名的开源项目名称？我最近听说了华东师大的一个啥来着搞的很有名，是哪个啊？,HanqinWu,3,"Sep 27, 2025",2025-09-27T15:50:12.000Z,0,1,22,"校园开源项目, 开源教育",https://answer.chancefoundation.org.cn/questions/10010000000000056/bang-wo-lie-ju-ji-ge-gao-xiao-zhi-ming-de-kai-yuan-xiang-mu-ming-cheng-wo-zui-jin-ting-shuo-le-hua-dong-shi-da-de-yi-ge-sha-lai-zhe-gao-de-hen-you-min,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:32,2
10010000000000055,最近想运营公众号或者B站了，我是个学生，推荐几个不错的方向，我来做做开源吧。我做着试试看。,HanqinWu,3,"Sep 27, 2025",2025-09-27T15:47:55.000Z,0,1,11,开源教育,https://answer.chancefoundation.org.cn/questions/10010000000000055/zui-jin-xiang-yun-ying-gong-zhong-hao-huo-zhe-b-zhan-le-wo-shi-ge-xue-sheng-tui-jian-ji-ge-bu-cuo-de-fang-xiang-wo-lai-zuo-zuo-kai-yuan-ba-wo-zuo-zhe-,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:32,2
10010000000000054,天工开物基金会的优势是什么？我想捐赠项目了，我是个人捐赠者。,HanqinWu,3,"Sep 27, 2025",2025-09-27T15:45:32.000Z,0,1,10,基金会职责,https://answer.chancefoundation.org.cn/questions/10010000000000054/tian-gong-kai-wu-ji-jin-hui-de-you-shi-shi-shen-me-wo-xiang-juan-zeng-xiang-mu-le-wo-shi-ge-ren-juan-zeng-zhe,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:32,2
10010000000000052,有没有很好的运营B站和公众号的方法？想求大佬来分享一下。主要是知识科普型博主。,HanqinWu,3,"Sep 27, 2025",2025-09-27T15:43:31.000Z,0,1,8,运营策略合集,https://answer.chancefoundation.org.cn/questions/10010000000000052/you-mei-you-hen-hao-de-yun-ying-b-zhan-he-gong-zhong-hao-de-fang-fa-xiang-qiu-da-lao-lai-fen-xiang-yi-xia-zhu-yao-shi-zhi-shi-ke-pu-xing-bo-zhu,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:32,2
10010000000000051,在进行博客的撰写时（包含微信公众号，csdn博客），我们对已经开源的代码进行讲解布道，需要注意哪些问题？这个会有知识产权纠纷的可能吗？,HanqinWu,3,"Sep 27, 2025",2025-09-27T15:41:56.000Z,0,1,4,开源法规,https://answer.chancefoundation.org.cn/questions/10010000000000051/zai-jin-xing-bo-ke-de-zhuan-xie-shi-bao-han-wei-xin-gong-zhong-hao-csdn-bo-ke-wo-men-dui-yi-jing-kai-yuan-de-dai-ma-jin-xing-jiang-jie-bu-dao-xu-yao-z,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:34,3
10010000000000047,开源项目中的知识产权如何划分,Hihi,11,"Sep 12, 2025",2025-09-12T07:17:40.000Z,0,1,9,开源法规,https://answer.chancefoundation.org.cn/questions/10010000000000047/kai-yuan-xiang-mu-zhong-de-zhi-shi-chan-quan-ru-he-hua-fen,https://answer.chancefoundation.org.cn/users/hihi,2026-01-07 16:30:34,3
10010000000000046,个人开发者如何快速融入一个成熟的开源社区？,Hihi,11,"Sep 12, 2025",2025-09-12T07:13:42.000Z,0,2,10,开源教育,https://answer.chancefoundation.org.cn/questions/10010000000000046/ge-ren-kai-fa-zhe-ru-he-kuai-su-rong-ru-yi-ge-cheng-shu-de-kai-yuan-she-qu,https://answer.chancefoundation.org.cn/users/hihi,2026-01-07 16:30:34,3
10010000000000045,有哪些与开源相关的法律法规,Hihi,11,"Sep 12, 2025",2025-09-12T01:06:22.000Z,0,1,6,开源法规,https://answer.chancefoundation.org.cn/questions/10010000000000045/you-na-xie-yu-kai-yuan-xiang-guan-de-fa-lv-fa-gui,https://answer.chancefoundation.org.cn/users/hihi,2026-01-07 16:30:34,3
10010000000000041,请问什么是开发者关系，最近建立的开发者关系基金会的职责是啥？,HanqinWu,3,"Sep 7, 2025",2025-09-07T04:09:20.000Z,0,1,23,基金会职责,https://answer.chancefoundation.org.cn/questions/10010000000000041/qing-wen-shen-me-shi-kai-fa-zhe-guan-xi-zui-jin-jian-li-de-kai-fa-zhe-guan-xi-ji-jin-hui-de-zhi-ze-shi-sha,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:34,3
10010000000000040,作为新手小白，怎么选择适合自己的开源社区?,咕噜咕噜,1,"Sep 6, 2025",2025-09-06T14:45:57.000Z,0,1,8,开源教育,https://answer.chancefoundation.org.cn/questions/10010000000000040/zuo-wei-xin-shou-xiao-bai-zen-me-xuan-ze-shi-he-zi-ji-de-kai-yuan-she-qu,https://answer.chancefoundation.org.cn/users/gulugulu,2026-01-07 16:30:34,3
10010000000000039,请问译道师是干嘛的？,Hihi,11,"Sep 6, 2025",2025-09-06T12:00:11.000Z,0,1,9,基金会职责,https://answer.chancefoundation.org.cn/questions/10010000000000039/qing-wen-yi-dao-shi-shi-gan-ma-de,https://answer.chancefoundation.org.cn/users/hihi,2026-01-07 16:30:34,3
10010000000000035,开源是干嘛的?,Hihi,11,"Sep 5, 2025",2025-09-05T12:59:53.000Z,0,1,7,开源教育,https://answer.chancefoundation.org.cn/questions/10010000000000035/kai-yuan-shi-gan-ma-de,https://answer.chancefoundation.org.cn/users/hihi,2026-01-07 16:30:34,3
10010000000000034,开源有哪些具体的实践,Hihi,11,"Sep 5, 2025",2025-09-05T12:58:28.000Z,0,1,5,开源教育,https://answer.chancefoundation.org.cn/questions/10010000000000034/kai-yuan-you-na-xie-ju-ti-de-shi-jian,https://answer.chancefoundation.org.cn/users/hihi,2026-01-07 16:30:34,3
10010000000000030,2025年9月1日颁布的AI合成内容今后要有“水印”，这个政策会给AI辅助工作学习的我们带来什么影响？,HanqinWu,3,"Sep 1, 2025",2025-09-01T12:45:10.000Z,0,2,19,开源法规,https://answer.chancefoundation.org.cn/questions/10010000000000030/2025-nian-9-yue-1-ri-ban-bu-de-ai-he-cheng-nei-rong-jin-hou-yao-you-shui-yin-zhe-ge-zheng-ce-hui-gei-ai-fu-zhu-gong-zuo-xue-xi-de-wo-men-dai-lai-shen-,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:34,3
10010000000000024,零基础开发者如何参与开源项目，有哪些入门级项目推荐？,Hihi,11,"Aug 28, 2025",2025-08-28T14:22:03.000Z,1,1,9,开源教育,https://answer.chancefoundation.org.cn/questions/10010000000000024/ling-ji-chu-kai-fa-zhe-ru-he-can-yu-kai-yuan-xiang-mu-you-na-xie-ru-men-ji-xiang-mu-tui-jian,https://answer.chancefoundation.org.cn/users/hihi,2026-01-07 16:30:36,4
10010000000000021,最近国务院专门颁布了一个有关开源的政策，我们该怎么理解，也就是我想问：关于“促进人工智能开源生态繁荣”政策的通俗解读,HanqinWu,3,"Aug 28, 2025",2025-08-28T13:30:41.000Z,0,4,39,开源教育,https://answer.chancefoundation.org.cn/questions/10010000000000021/zui-jin-guo-wu-yuan-zhuan-men-ban-bu-le-yi-ge-you-guan-kai-yuan-de-zheng-ce-wo-men-gai-zen-me-li-jie-ye-jiu-shi-wo-xiang-wen-guan-yu-cu-jin-ren-gong-z,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:36,4
10010000000000018,常见的开源许可证有哪些吗？我在看开源通识这门课的时候没搞清楚。,HanqinWu,3,"Aug 25, 2025",2025-08-25T03:29:31.000Z,0,1,10,开源许可证,https://answer.chancefoundation.org.cn/questions/10010000000000018/chang-jian-de-kai-yuan-xu-ke-zheng-you-na-xie-ma-wo-zai-kan-kai-yuan-tong-shi-zhe-men-ke-de-shi-hou-mei-gao-qing-chu,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:36,4
10010000000000016,如何成为基金会布道师? 有什么要求吗？,一碗酸辣粉,11,"Aug 11, 2025",2025-08-11T06:25:48.000Z,0,1,23,基金会活动,https://answer.chancefoundation.org.cn/questions/10010000000000016/ru-he-cheng-wei-ji-jin-hui-bu-dao-shi-you-shen-me-yao-qiu-ma,https://answer.chancefoundation.org.cn/users/yiwansuanlafen,2026-01-07 16:30:36,4
10010000000000013,天工开物基金会平时会参与哪些活动？或者这样说吧会有哪些会议，我想去找你们了解一下,HanqinWu,3,"Aug 7, 2025",2025-08-07T03:57:57.000Z,0,1,25,基金会活动,https://answer.chancefoundation.org.cn/questions/10010000000000013/tian-gong-kai-wu-ji-jin-hui-ping-shi-hui-can-yu-na-xie-huo-dong-huo-zhe-zhe-yang-shuo-ba-hui-you-na-xie-hui-yi-wo-xiang-qu-zhao-ni-men-le-jie-yi-xia,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:36,4
10010000000000010,天工开物基金会是干嘛的？,HanqinWu,3,"Aug 7, 2025",2025-08-07T03:53:56.000Z,0,2,22,基金会职责,https://answer.chancefoundation.org.cn/questions/10010000000000010/tian-gong-kai-wu-ji-jin-hui-shi-gan-ma-de,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:36,4
10010000000000005,天工开物基金会有哪些孵化的项目？有没有可以看看内容的，运营的还不错的。,HanqinWu,3,"Aug 5, 2025",2025-08-05T14:40:31.000Z,0,1,14,孵化项目,https://answer.chancefoundation.org.cn/questions/10010000000000005/tian-gong-kai-wu-ji-jin-hui-you-na-xie-fu-hua-de-xiang-mu-you-mei-you-ke-yi-kan-kan-nei-rong-de-yun-ying-de-hai-bu-cuo-de,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:36,4
10010000000000003,天工开物基金会开源课程有哪些，给初学者推荐一些课程呗,HanqinWu,3,"Aug 5, 2025",2025-08-05T14:37:51.000Z,0,1,11,开源课程,https://answer.chancefoundation.org.cn/questions/10010000000000003/tian-gong-kai-wu-ji-jin-hui-kai-yuan-ke-cheng-you-na-xie-gei-chu-xue-zhe-tui-jian-yi-xie-ke-cheng-bei,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:36,4
10010000000000001,请问天工开物基金会开源毕业论文设计怎么参与,HanqinWu,3,"Aug 5, 2025",2025-08-05T14:33:47.000Z,0,2,13,开源毕业论文设计,https://answer.chancefoundation.org.cn/questions/10010000000000001/qing-wen-tian-gong-kai-wu-ji-jin-hui-kai-yuan-bi-ye-lun-wen-she-ji-zen-me-can-yu,https://answer.chancefoundation.org.cn/users/hanqinwu,2026-01-07 16:30:36,4
